trans id,quantity,time,item id,client id
1,2,2018-08-09 21:37:15.026198,3,2
2,10,2018-08-09 21:41:06.410593,2,2
3,3,2018-08-09 22:24:26.523103,1,2
4,2,2018-08-09 22:27:04.499210,3,2
5,2,2018-08-09 22:27:30.406080,3,2
6,9,2018-08-10 17:06:01.396413,1,1
7,11,2018-08-10 18:26:38.316380,2,3
8,11,2018-08-10 18:27:06.613308,2,3
9,12,2018-08-10 18:30:43.406454,1,3
10,12,2018-08-10 18:31:33.957567,1,3
11,12,2018-08-10 18:31:52.882311,1,2
12,12,2018-08-10 18:33:43.307631,1,2
13,12,2018-08-10 18:34:13.019402,1,3
14,10,2018-08-10 18:34:33.762001,2,1
15,1,2018-08-10 19:08:06.651445,1,1
16,1,2018-08-10 19:08:13.550039,1,1
17,1,2018-08-10 19:23:57.366920,1,1
18,1,2018-08-10 19:24:51.429572,1,1
19,1,2018-08-10 19:25:15.367658,1,1
20,1,2018-08-10 19:25:22.316338,1,1
21,3,2018-08-10 19:25:52.134118,1,1
22,1,2018-08-10 19:25:59.617803,1,1
23,1,2018-08-10 19:26:42.412635,1,1
24,1,2018-08-10 19:26:56.399316,1,1
25,1,2018-08-10 19:27:42.967333,1,1
26,1,2018-08-10 19:27:52.045961,1,1
